date,source,team,reason,details
12/13/2024,Квиз_13.12.2024,Свободный стол,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Нашатырь,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Не смотрите наверх,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Испанский стыд,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Импровизация,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Стол №1,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,Команда Башир,SKIP_PLACEHOLDER,
6/18/2025,Квиз_18.06.2025,сильно ву пле),SKIP_PLACEHOLDER,
8/1/2025,Квиз_01.08.2025,стол 2 Бронь,SKIP_PLACEHOLDER,
8/15/2025,Квиз_15.08.2025,стол 2 бронь,SKIP_PLACEHOLDER,
8/22/2025,Квиз_22.08.2025,Вы Уху Ели?,SKIP_PLACEHOLDER,
