Дата игры,Название команды,Количество игроков,Номер стола,Раунд 1,Раунд 2,Раунд 3,Раунд 4,Раунд 5,Раунд 6,Раунд 7,Итоговый счет,Место в игре,Источник
11/8/2024,Не смотрите наверх,8,8,6,6,6,6,5,6,10,45,1,Квиз_08.11.2024
11/8/2024,Люди Короля,6,3,5,5,5,8,6,4,12,45,2,Квиз_08.11.2024
11/8/2024,Нашатырь,7,7,5,3,4,8,6,6,10,42,3,Квиз_08.11.2024
11/8/2024,Импровизация,7,6,5,6,3,7,5,6,8,40,4,Квиз_08.11.2024
11/8/2024,Стол №1,9,"4,5",6,4,4,4,5,4,11,38,5,Квиз_08.11.2024
11/8/2024,Гренки,2,Бар,6,3,5,7,3,2,9,35,6,Квиз_08.11.2024
11/8/2024,Испанский стыд,5,2,4,4,4,3,6,4,4,29,7,Квиз_08.11.2024
11/8/2024,Космонавты,6,1,3,1,4,2,1,2,4,17,8,Квиз_08.11.2024
11/15/2024,Нашатырь,5,1,3,3,4,7,6,4,15,42,1,Квиз_15.11.2024
11/15/2024,Люди Короля,6,3,6,4,5,7,6,2,9,39,2,Квиз_15.11.2024
11/15/2024,Стол №1,7,8,1,2,4,4,6,6,13,36,3,Квиз_15.11.2024
11/15/2024,Не смотрите наверх,6,6,3,5,4,2,6,4,10,34,4,Квиз_15.11.2024
11/15/2024,Импровизация,6,7,4,3,2,5,5,4,7,30,5,Квиз_15.11.2024
11/15/2024,Тире или азбука МорСа,6,2,4,4,3,6,6,4,-1,26,6,Квиз_15.11.2024
11/15/2024,Три товарища,6,5,4,3,2,1,6,4,0,20,7,Квиз_15.11.2024
11/22/2024,Фаршированные перцем,4,4,4,6,2,9,4,6,14,45,1,Квиз_22.11.2024
11/22/2024,Нашатырь,7,2,4,4,4,7,6,4,15,44,2,Квиз_22.11.2024
11/22/2024,Люди Короля,4,3,5,5,3,8,6,2,13,42,3,Квиз_22.11.2024
11/22/2024,Стол №1,7,8,5,5,0,11,6,2,7,36,4,Квиз_22.11.2024
11/22/2024,Не смотрите наверх,6,6,3,3,2,2,4,4,10,28,5,Квиз_22.11.2024
11/22/2024,Импровизация,6,7,3,5,1,5,5,0,4,23,6,Квиз_22.11.2024
11/22/2024,Союз,6,5,3,5,4,3,3,0,1,19,7,Квиз_22.11.2024
11/29/2024,Не смотрите наверх,7,"4,5",6,4,5,5,6,2,12,40,1,Квиз_29.11.2024
11/29/2024,Стол №1,7,8,5,6,3,6,4,0,10,34,2,Квиз_29.11.2024
11/29/2024,Импровизация,6,7,6,5,4,0,4,0,6,25,3,Квиз_29.11.2024
11/29/2024,Не сегодня,2,бар,4,3,1,2,3,0,11,24,4,Квиз_29.11.2024
11/29/2024,Тире или азбука МорСа,7,2,4,2,2,3,5,0,6,22,5,Квиз_29.11.2024
11/29/2024,Нашатырь,5,6,3,3,1,6,4,0,2,19,6,Квиз_29.11.2024
11/29/2024,Люди Короля,4,3,5,3,3,1,5,0,-1,16,7,Квиз_29.11.2024
12/6/2024,Люди Короля,5,3,5,6,5,10,6,2,15,49,1,Квиз_06.12.2024
12/6/2024,Не смотрите наверх,6,6,4,4,4,9,6,2,15,44,2,Квиз_06.12.2024
12/6/2024,Стол №1,7,8,5,2,2,7,5,0,13,34,3,Квиз_06.12.2024
12/6/2024,Импровизация,6,7,2,5,2,6,2,4,10,31,4,Квиз_06.12.2024
12/6/2024,Тире или азбука МорСа,7,2,6,3,2,3,2,2,13,31,5,Квиз_06.12.2024
12/13/2024,Не смотрите наверх,8,8,4,3,2,7,6,2,2,26,1,Квиз_13.12.2024
12/13/2024,Стол №1,7,"4,5",4,3,2,5,6,0,5,25,2,Квиз_13.12.2024
12/13/2024,Нашатырь,5,6,2,5,4,3,5,0,1,20,3,Квиз_13.12.2024
12/13/2024,Импровизация,6,7,5,4,3,1,3,0,1,17,4,Квиз_13.12.2024
12/13/2024,Тире или азбука МорСа,7,2,3,4,2,2,2,0,4,17,5,Квиз_13.12.2024
12/13/2024,Не сегодня,5,1,4,1,2,4,4,0,0,15,6,Квиз_13.12.2024
12/13/2024,Свободный стол,3,,0,0,0,0,0,0,0,0,7,Квиз_13.12.2024
12/20/2024,Не смотрите наверх,6,5,5,4,4,5,4,0,4,26,1,Квиз_20.12.2024
12/20/2024,Стол №1,5,1,5,5,5,5,5,0,0,25,2,Квиз_20.12.2024
12/20/2024,Гренки,2,Бар,4,4,3,5,3,0,6,25,3,Квиз_20.12.2024
12/20/2024,Ход конём,8,9,4,4,4,5,5,0,1,23,4,Квиз_20.12.2024
12/20/2024,Стол №4,4,4,4,5,2,5,4,0,1,21,5,Квиз_20.12.2024
12/20/2024,Испанский стыд,5,1,4,4,1,3,5,0,4,21,6,Квиз_20.12.2024
12/20/2024,Нашатырь,5,7,3,5,3,4,4,0,1,20,7,Квиз_20.12.2024
12/20/2024,Люди Короля,4,8,4,5,4,1,6,0,0,20,8,Квиз_20.12.2024
12/20/2024,Тире или азбука МорСа,6,2,4,3,3,1,3,0,3,17,9,Квиз_20.12.2024
12/20/2024,Импровизация,6,6,5,4,1,1,1,2,-6,8,10,Квиз_20.12.2024
12/28/2024,Не смотрите наверх,8,8,4,3,3,6,3,2,12,33,1,Квиз_28.12.2024
12/28/2024,Люди Короля,6,3,3,4,3,6,5,0,9,30,2,Квиз_28.12.2024
12/28/2024,Стол №1,7,"4,5",4,4,5,7,4,0,4,28,3,Квиз_28.12.2024
12/28/2024,Тире или азбука МорСа,6,2,4,3,5,4,3,0,4,23,4,Квиз_28.12.2024
12/28/2024,Нашатырь,6,7,3,5,6,4,3,2,-1,22,5,Квиз_28.12.2024
12/28/2024,Три товарища,4,1,4,2,2,0,0,0,3,11,6,Квиз_28.12.2024
12/28/2024,Атличники,5,6,2,3,1,4,0,0,0,10,7,Квиз_28.12.2024
1/4/2025,Не смотрите наверх,6,6,9,11,5,4,8,5,12,54,1,Квиз_04.01.2025
1/4/2025,Люди Короля,8,"2,3",7,10,3,6,7,6,11,50,3,Квиз_04.01.2025
1/4/2025,Стол №1,7,8,8,9,2,6,5,5,17,52,2,Квиз_04.01.2025
1/4/2025,Вы Уху Ели?,4,4,7,8,1,4,2,4,10,36,7,Квиз_04.01.2025
1/4/2025,Нашатырь,4,5,8,6,3,4,4,4,10,39,5,Квиз_04.01.2025
1/4/2025,Импровизация,6,7,7,8,2,6,1,4,6,34,8,Квиз_04.01.2025
1/4/2025,Три товарища,4,1,6,5,1,4,3,5,13,37,6,Квиз_04.01.2025
1/4/2025,Гренки,3,бар,8,10,1,5,6,5,11,46,4,Квиз_04.01.2025
1/4/2025,Сулугуни лингус,2,2,3,9,0,4,2,2,11,31,9,Квиз_04.01.2025
1/10/2025,Нашатырь,4,4,4,3,5,7,4,6,8,37,1,Квиз_10.01.2025
